"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"January 26, 2016",Washington,Seattle,"Airport Way S. and S. Atlantic St.",2,3,N/A
"January 25, 2016",California,Perris,"140 S. D Street",1,4,N/A
"January 23, 2016",California,"Los Angeles","8105 Avalon Blvd",2,2,N/A
"January 17, 2016",Virginia,"Ware Neck","Ditchley Road and Gill Lane",1,3,N/A
"January 11, 2016",Delaware,Wilmington,"900 block of Brown Street",1,4,N/A
"January 8, 2016",Illinois,Chicago,"1500 block of South Kedzie",1,4,N/A
"January 7, 2016",Tennessee,Memphis,"3800 block of Kerwood Avenue",1,3,N/A
"January 6, 2016",Florida,Lakeland,"2312 East Magnolia Street",3,1,N/A
"December 31, 2015",Louisiana,"New Orleans","1900 Block of Amelia Street",0,6,N/A
"December 27, 2015",Tennessee,Jackson,"North Parkway",0,4,N/A
"December 26, 2015",Pennsylvania,Philadelphia,"4210 Macalester St",0,4,N/A
"December 25, 2015",Florida,Jacksonville,"Franklin and Odessa",0,4,N/A
"December 25, 2015",Alabama,Mobile,"785 Schillinger Rd S",0,4,N/A
"December 21, 2015",California,"San Leandro","14600 block of East 14th Street",0,4,N/A
"December 20, 2015","North Carolina",Wilmington,"11th and Castle Street",1,4,N/A
"December 20, 2015",Florida,"Miami (Goulds)","21630 Southwest 120th Avenue",1,4,N/A
"December 20, 2015",Florida,"Miami-dade (county)","Northeast Seventh Avenue and Northeast 166th Street",0,4,N/A
"December 14, 2015",Illinois,"Lovejoy (Brooklyn)","307 Jefferson St",1,3,N/A
"December 13, 2015",California,"Los Angeles","5550 S. Flower Street",1,3,N/A
"December 13, 2015",California,"Huntington Beach","17000 block of Keelson Lane",0,4,N/A
"December 12, 2015",Georgia,Savannah,"Whitaker Street",0,4,N/A
"December 11, 2015",Maryland,Baltimore,"5100 block of Park Heights Avenue",1,3,N/A
"December 11, 2015",Pennsylvania,"Pittsburgh (Mount Oliver)","200 Block of  Brownsville Road",0,4,N/A
"December 8, 2015",Ohio,"Cincinnati (Fairmount)","2300 block of Baltimore Avenue",1,3,N/A
"December 6, 2015",Louisiana,Raceland,"Market Street",1,3,N/A
"December 6, 2015",Nebraska,Omaha,"North 108th Street and Military Road",2,3,N/A
"December 2, 2015",California,"San Bernardino","1365 South Waterman Avenue",16,19,N/A
"December 2, 2015",Georgia,Savannah,"100 block of West 33rd Street",1,3,N/A
"November 29, 2015",Illinois,Kankakee,"648 E. Court St",0,5,N/A
"November 27, 2015",Colorado,"Colorado Springs","3480 Centennial Blvd",3,9,N/A
"November 27, 2015",California,Sacramento,"7900 block of Florin Road",2,2,N/A
"November 24, 2015","South Carolina","Horry (county)","1321 Colletta Court",0,4,N/A
"November 23, 2015",Ohio,Columbus,"90 block of S. Terrace Avenue",4,1,N/A
"November 23, 2015",Minnesota,Minneapolis,"Morgan Avenue North",0,5,N/A
"November 22, 2015",Texas,Brownsville,"1800 Block of FM 802",0,4,N/A
"November 22, 2015",Washington,Seattle,"Broadway and Pike",0,4,N/A
"November 22, 2015",Louisiana,"New Orleans","1900 block of Gallier Street",0,17,N/A
"November 22, 2015","New York",Newburgh,"203 Broadway",0,5,N/A
"November 22, 2015","South Carolina","North Charleston","Park Circle",1,3,N/A
"November 22, 2015",Illinois,Chicago,"4100 block of West Roosevelt",0,4,N/A
"November 21, 2015",Maryland,Baltimore,"Stricker and School",1,3,N/A
"November 20, 2015",Pennsylvania,Pittsburgh,"Prospect Drive",1,3,N/A
