"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"June 27, 2015",Michigan,Detroit,"Stringham Court",0,4,N/A
"June 24, 2015","New York","New York (Manhattan)","2110 Madison Ave",0,4,N/A
"June 22, 2015",Pennsylvania,Philadelphia,"700 block of East Hilton Street",0,7,N/A
"June 21, 2015",Pennsylvania,"Pittsburgh (Wilkinsburg)","Rebecca and East Swissvale Avenue",0,4,N/A
"June 21, 2015",Kentucky,Lexington,"726 Georgetown St",1,4,N/A
"June 20, 2015",Michigan,Detroit,"Dexter and Webb",1,11,N/A
"June 20, 2015","North Carolina",Morven,N/A,0,4,N/A
"June 20, 2015",Pennsylvania,Philadelphia,"4100 block of Ogden Street",0,11,N/A
"June 19, 2015","Rhode Island",Woonsocket,"80 River Street",0,4,N/A
"June 17, 2015","South Carolina",Charleston,"110 Calhoun Street",9,0,N/A
"June 16, 2015",Florida,"Miami Gardens","600 block of Northwest 177th Street",0,4,N/A
"June 15, 2015","New York",Brooklyn,"673 Flatbush Avenue",0,4,N/A
"June 14, 2015",Oklahoma,Tulsa,"1800 block of North Kingston",0,4,N/A
"June 14, 2015",Missouri,"Saint Louis","1400 block of North Market Street",0,4,N/A
"June 14, 2015","New Jersey",Camden,"2800 block of Saunders Street",1,3,N/A
"June 13, 2015",Georgia,Fayetteville,"600 block of Highway 279",1,4,N/A
"June 13, 2015",Ohio,Columbus,"1623 E. Hudson Street",4,1,N/A
"June 13, 2015",Georgia,Milledgeville,"451 North Flynn Street",1,3,N/A
"June 13, 2015","New York",Bronx,"2409 Creston Avenue",0,5,N/A
"June 13, 2015",Oklahoma,"Oklahoma City","500 block of Se 69th St",0,4,N/A
"June 12, 2015",Florida,Allapattah,"24th Avenue and 36th Street",0,4,N/A
"June 11, 2015",Connecticut,Bridgeport,"468 Trumbull Avenue",1,8,N/A
"June 11, 2015",Texas,Houston,"3400 Block of Burkett",1,3,N/A
"June 10, 2015",California,"Los Angeles","South Vermont Avenue and West 88th Street",1,3,N/A
"June 9, 2015",Missouri,"Saint Louis","North Market Street and North Spring Avenue",1,3,N/A
"June 7, 2015",Montana,"Deer Lodge","Boulder Creek Road",5,0,N/A
"June 6, 2015","New York",Buffalo,"100 block of Warren Avenue",1,4,N/A
"June 6, 2015",Illinois,Chicago,"100 block of North Lorel Avenue",0,5,N/A
"June 5, 2015",Iowa,Davenport,"900 block of West 3rd St",0,5,N/A
"June 5, 2015",Louisiana,"New Orleans","2100 Block of Governor Nicholls Street",1,3,N/A
"June 3, 2015","New York",Wyandanch,"Davidson Street",3,1,N/A
"May 31, 2015",Ohio,Cleveland,"16209 block of Laverne Avenue",3,1,N/A
"May 31, 2015",Maryland,Springdale,"9222 Ardwick Ardmore Road",1,3,N/A
"May 31, 2015",Connecticut,"New Haven","849 Chapel Street",0,5,N/A
"May 31, 2015",Georgia,Conyers,"4669 Bell Road SE",3,2,N/A
"May 30, 2015",California,"San Diego","4200 block of Market Street",0,4,N/A
"May 28, 2015",Nebraska,Omaha,"84th and Q",0,4,N/A
"May 28, 2015",Illinois,Chicago,"6200 block of South Honore Street",0,5,N/A
"May 28, 2015",Pennsylvania,Chester,"2700 block of West 3rd Street",1,3,N/A
"May 26, 2015",Louisiana,"New Orleans","6700 Block of Tara Lane",2,2,N/A
"May 25, 2015",Illinois,Decatur,"1816 N. Water",1,4,N/A
"May 24, 2015",Michigan,Flint,"W. 12th Street and Hammerberg Road.",0,7,N/A
"May 24, 2015",Massachusetts,Brockton,"1002 Main St",0,5,N/A
"May 24, 2015",Alabama,Montgomery,"Smiley Court",1,3,N/A
"May 24, 2015",Missouri,"Saint Louis","2700 block of Dayton",0,4,N/A
"May 23, 2015",California,Fresno,"2400 block of South 9th Street",2,2,N/A
"May 20, 2015",Maryland,Baltimore,"800 block of Linwood Avenue",1,4,N/A
"May 18, 2015",Missouri,Kinloch,"8000 block of School Way",0,4,N/A
"May 18, 2015",Florida,Miami,"Northwest 75th Street and Northwest 16th Avenue",1,4,N/A
"May 17, 2015",Texas,Waco,"4671 S Jack Kultgen Expy",9,18,N/A
"May 16, 2015",Wisconsin,Milwaukee,"28th Street and Auer Avenue",0,5,N/A
"May 16, 2015","New York",Rochester,"188 Lewis Street",0,4,N/A
"May 16, 2015",Maryland,Baltimore,"1700 block of North Broadway",0,5,N/A
"May 12, 2015",Maryland,"Capitol Heights","Pard Road",1,4,N/A
"May 12, 2015",Arizona,Tucson,"800 block of West Calle Medina Road",5,0,N/A
"May 10, 2015",Ohio,Cleveland,"3600 block of Bosworth Road",1,4,N/A
"May 10, 2015","New Jersey","Jersey City","Bostwick Avenue",0,4,N/A
"May 10, 2015","New Jersey",Newark,"19th Avenue and South 16th Street",1,3,N/A
"May 7, 2015",Ohio,Cincinnati,"2300 block of Baltimore Avenue",0,4,N/A
"May 4, 2015","New York",Buffalo,"100 block of Roosevelt Avenue",1,3,N/A
"May 3, 2015",Indiana,"South Bend","1600 block of South William Street",0,4,N/A
"May 3, 2015",Wisconsin,Menasha,"North Lake Street",4,1,N/A
"May 3, 2015",Texas,Houston,"San Jacinto at Elgin",0,6,N/A
"May 3, 2015","New York",Bronx,"University Avenue",0,4,N/A
"May 3, 2015",Ohio,Dayton,"2801 Germantown Street",1,6,N/A
"May 1, 2015",Wisconsin,Milwaukee,"3700 block of 37th Street",2,3,N/A
"April 27, 2015","New York",Brooklyn,"1365 Flatbush Ave",2,4,N/A
"April 27, 2015",Arizona,"Gila Bend","State Route 85",2,2,N/A
"April 25, 2015","New Jersey",Trenton,"Wood Street",0,4,N/A
"April 25, 2015","New York",Gates,"24 Hinchey Rd",1,6,N/A
"April 21, 2015",Texas,Killeen,"420 Gilmer St.",2,3,N/A
"April 19, 2015",Virginia,Richmond,"200 block of West Hill Street",0,4,N/A
"April 18, 2015",Pennsylvania,Williamsport,"300 block of Pine Street",0,5,N/A
"April 18, 2015",Alabama,Montgomery,"1800 block of Gibbs Court",0,5,N/A
"April 18, 2015","North Carolina",Lumberton,"Martin Luther King Drive",1,3,N/A
"April 18, 2015","North Carolina",Charlotte,"Bost Street",0,4,N/A
"April 18, 2015","New Jersey",Patterson,"230 Rosa Parks Boulevard",1,3,N/A
"April 16, 2015",Arizona,Phoenix,"4300 block of East Anderson Drive",5,0,N/A
"April 7, 2015",Georgia,Rome,"20 Copeland Street",1,3,N/A
"April 5, 2015",Pennsylvania,Pittsburgh,"Dinwiddie Street",1,3,N/A
"April 5, 2015",Kentucky,Louisville,"40th and Grand Street",1,4,N/A
"April 5, 2015",Indiana,Indianapolis,"5000 block of Wildflower Court",0,5,N/A
"April 5, 2015",Michigan,"Benton Harbor","1000 block of Blossom Lane",0,4,N/A
"April 3, 2015",Florida,"Daytona Beach","300 block of Henry Butts Drive",0,4,N/A
"April 2, 2015",Maryland,Baltimore,"1900 block of West Lanvale Street",0,5,N/A
"March 27, 2015",Florida,"Panama City Beach","5312 Thomas Drive",0,7,N/A
"March 26, 2015",Texas,Amarillo,"3100 block of Redwood",0,4,N/A
"March 24, 2015",Indiana,Indianapolis,"3100 block of North Harding Street",4,0,N/A
"March 23, 2015",Tennessee,Clarksville,"900 block of Carpenter Street",1,4,N/A
"March 22, 2015","New Mexico",Albuquerque,"10140 Lomas NE",1,6,N/A
"March 21, 2015",Florida,Tampa,"1802 Seventh Ave",0,4,N/A
"March 20, 2015",Texas,Lancaster,"1500 block of Reynolds Street",1,5,N/A
"March 18, 2015","New Jersey",Newark,"200 block of Clinton Place",1,3,N/A
"March 18, 2015",Arizona,Mesa,"1504 West Main Street",1,5,N/A
"March 17, 2015",California,Stockton,"748 N Madison St",3,4,N/A
"March 15, 2015",California,Compton,"2700 block of West Alondra Boulevard",0,4,N/A
"March 14, 2015",Georgia,Atlanta,"2900 block of Delmar Lane",0,5,N/A
"March 14, 2015",California,Coachella,"84000 block of Bagdad Avenue",0,4,N/A
"March 13, 2015",Mississippi,Brookhaven,"1097 South First St.",2,3,N/A
"March 10, 2015",Georgia,Columbus,"3023 Victory Drive",0,5,N/A
"March 9, 2015",Illinois,Chicago,"200 block of West 105th",1,3,N/A
"March 8, 2015","South Carolina",Seneca,"Wells Highway",1,3,N/A
"March 4, 2015",California,"San Bernardino","190 block of West Club Center Drive",2,5,N/A
"March 1, 2015",Florida,"Orange County","4900 block of Steyr Street",0,4,N/A
"March 1, 2015",Michigan,Detroit,"9855 Chalmers St",1,5,N/A
"February 28, 2015",Maryland,Baltimore,"4300 block of Welbourne Road",1,3,N/A
"February 26, 2015",Missouri,Tyrone,"18279 Highway H",8,1,N/A
"February 25, 2015",Texas,Houston,"Mallow St.",3,3,N/A
"February 22, 2015",Texas,Killeen,"1706 Godman St.",4,1,N/A
"February 22, 2015",Georgia,Clarkesville,"281 Lower Pond Court",3,2,N/A
"February 22, 2015","South Carolina",Charleston,"4224 Dorchester Road",0,4,N/A
"February 20, 2015",California,Sacramento,"1417 R Street",0,4,N/A
"February 17, 2015",Arkansas,"Little Rock","7900 Scott Hamilton",1,3,N/A
"February 15, 2015",California,"Long Beach","200 block of W. 14th Street",0,5,N/A
"February 9, 2015",Florida,"New Port Richey","9552 Adler Street",3,1,N/A
"February 8, 2015",Tennessee,"Maury City","251 Dupree Road",0,6,N/A
"February 7, 2015",Georgia,Douglasville,"3640 Willow Tree Circle",5,2,N/A
"February 6, 2015",Oklahoma,Tulsa,"1219 N. Sheridan Road",1,4,N/A
"February 5, 2015",Ohio,"Beachwood (Warrensville Heights)","Harvard Road",3,3,N/A
"February 1, 2015","New York",Syracuse,"1217 West Fayette Street",0,6,N/A
"February 1, 2015","New York","New York (Manhattan)","3345 Broadway",1,4,N/A
"January 31, 2015",Georgia,Lagrange,"100 block of Woodstream Trail",4,0,N/A
"January 28, 2015",Georgia,"Dekalb County","1600 block of Panola Road",1,3,N/A
"January 26, 2015",California,Stockton,"1500 block of E. 9th Street",1,3,N/A
"January 24, 2015","New York","Arverne (Queens)","231-11 148th Avenue",4,1,N/A
"January 24, 2015",Nebraska,Omaha,"3402 Parker St",3,5,N/A
"January 23, 2015",Massachusetts,Boston,"954 Parker Street",0,6,N/A
"January 20, 2015",Tennessee,Clarksville,"321 Lansinger Lane",1,3,N/A
"January 19, 2015",Texas,"San Antonio","1000 block of Gibbs St.",2,5,N/A
"January 16, 2015",California,Oakland,"105th and Edes",2,2,N/A
"January 13, 2015",Virginia,Portsmouth,"4100 block of Portsmouth Boulevard",0,5,N/A
"January 13, 2015",Illinois,Rockford,"700 block of Oakley Avenue",2,2,N/A
"January 11, 2015","North Carolina","Hope Mills","1900 block of Gumberry Road",2,5,N/A
"January 11, 2015",Florida,Lakeland,"7665 Chase Road",1,3,N/A
"January 11, 2015",California,"San Jose","3840 Monterey Hwy",0,5,N/A
"January 10, 2015",Kansas,Wichita,"4859 E Harry Street",2,2,N/A
"January 9, 2015",California,"San Francisco","Laguna and Page streets",4,0,N/A
"January 8, 2015",Massachusetts,Boston,"104 Harrishof Street",1,3,N/A
"January 7, 2015",Tennessee,Chattanooga,"773 West Main Street",1,3,N/A
"January 6, 2015",Florida,Miami,"1300 block of NW 62nd Street",1,3,N/A
"January 4, 2015",Virginia,Roanoke,"3634 Shenandoah Ave NW",2,4,N/A
"January 4, 2015",Texas,Dallas,"2000 block of Ben Hur St.",3,1,N/A
"January 2, 2015",Georgia,Savannah,"500 block of W. 54th Street",1,4,N/A
"January 1, 2015",Tennessee,Memphis,"Interstate 240 and Poplar Avenue",0,5,N/A
"December 31, 2014",California,"Los Angeles","81st Street and Western Avenue",1,3,N/A
"December 29, 2014",Louisiana,"New Orleans","Poydras and Bolivar",0,4,N/A
"December 27, 2014",California,"Los Angeles","8800 block of South Figueroa Street",1,3,N/A
"December 27, 2014",California,Sacramento,"4000 block of May Street",0,4,N/A
"December 26, 2014",Illinois,"East St. Louis","2500 block of Summit Avenue",1,3,N/A
"December 24, 2014",Missouri,"Saint Louis","18th and Pine",1,3,N/A
"December 23, 2014",Kentucky,Winchester,"260 Oxford Drive",1,3,N/A
"December 22, 2014","New York",Webster,"191 Lake Road",3,2,N/A
"December 22, 2014",Michigan,Detroit,"Charlevoix and Philip",1,3,N/A
"December 22, 2014",Illinois,Chicago,"5700 block of South Green Street",0,5,N/A
"December 21, 2014",Florida,Sarasota,"South Washington Boulevard",2,2,N/A
"December 21, 2014",Mississippi,Waynesboro,"Central Avenue",1,4,N/A
"December 21, 2014",Illinois,"Calumet City","600 block of Escanba",1,8,N/A
"December 20, 2014",Illinois,Rockford,"3200 block of Montrose Avenue",4,0,N/A
"December 16, 2014","New Jersey",Elizabeth,"Anna Street",0,4,N/A
"December 14, 2014",Florida,Miami,"1311 Northwest 2nd Avenue",1,4,N/A
"December 13, 2014",Florida,Tampa,"810 E. Skagway Ave.",0,5,N/A
"December 12, 2014",Oregon,Portland,"717 North Killingsworth Court",0,4,N/A
"December 12, 2014",Georgia,Macon,"2822 Bloomfield Drive",3,3,N/A
