Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
77057,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,18114,27237,1187785289
77058,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,8036,12262,373980904
77059,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,7783,15555,750610671
77060,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,13273,25102,316426500
77061,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,8894,16149,248519312
77062,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,11904,21952,734212872
77063,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,15275,23126,647838609
77064,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,19946,36400,961689182
77065,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,15413,27200,709407448
77066,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,13597,24961,511950833
77067,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,11288,20865,321355980
77068,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,4530,8056,249667901
77069,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,8233,13847,586512033
77070,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,20326,36163,1076788428
77071,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,11262,19369,393038148
77072,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,22310,40152,555802947
77073,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,13306,24816,459792605
77074,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,13612,24151,354558635
77075,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,13816,26273,446219661
77076,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,11037,21487,263200016
77077,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,24333,40493,1478768194
77078,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,5812,10560,133055525
77079,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,15466,27970,1313513933
77080,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,16177,29608,482815586
77081,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,14738,26173,415171499
